標準分類編碼,行情代號(水產品代號),品種,中文名稱,英文名稱,學名名稱,俗名名稱
4711247053013,,統稱(其他),菾菜類,Swiss chard， Chard，spinach beet,Beta vnlgaris  L. Cicla group,葉用菾菜，莙薘菜，厚皮菜，牛皮菜；，根刀菜；茄末菜，厚末，芥茉菜
4711247053099,,統稱(其他),菾菜類,Swiss chard， Chard，spinach beet,Beta vnlgaris  L. Cicla group,葉用菾菜，莙薘菜，厚皮菜，牛皮菜；，根刀菜；茄末菜，厚末，芥茉菜
4711247053105,LU1,,葉用菾菜,Swiss chard， Chard，spinach beet,Beta vnlgaris  L. Cicla group,葉用菾菜，莙薘菜，厚皮菜，牛皮菜；，根刀菜；茄末菜，厚末，芥茉菜
4711247053112,,,葉用菾菜,Swiss chard， Chard，spinach beet,Beta vnlgaris  L. Cicla group,葉用菾菜，莙薘菜，厚皮菜，牛皮菜；，根刀菜；茄末菜，厚末，芥茉菜
4711247053198,,,葉用菾菜,Swiss chard， Chard，spinach beet,Beta vnlgaris  L. Cicla group,葉用菾菜，莙薘菜，厚皮菜，牛皮菜；，根刀菜；茄末菜，厚末，芥茉菜
4711247053204,LU1,,紅梗菾菜,Red chard，Leaf                             beet,Beta vnlgaris  L. Cicla group,紅柄菾菜，紅牛皮菜
4711247053211,,,紅梗菾菜,Red chard，Leaf                             beet,Beta vnlgaris  L. Cicla group,紅柄菾菜，紅牛皮菜
4711247053297,,,紅梗菾菜,Red chard，Leaf                             beet,Beta vnlgaris  L. Cicla group,紅柄菾菜，紅牛皮菜
4711247397117,,,雞腿菇,Shaggy ink Cap 或 Shaggy Mane,Coprinus comatus,雞腿蘑，毛頭鬼傘
4711247397124,,,雞腿菇,Shaggy ink Cap 或 Shaggy Mane,Coprinus comatus,雞腿蘑，毛頭鬼傘
4711247397193,,,雞腿菇,Shaggy ink Cap 或 Shaggy Mane,Coprinus comatus,雞腿蘑，毛頭鬼傘
4711247397209,MM1,,猴頭菌,NA,Hericium erinaceus  (Bull ex Fr.) Pers.,猴頭蘑，花菜菇
4711247397216,,,猴頭菌,NA,Hericium erinaceus  (Bull ex Fr.) Pers.,猴頭蘑，花菜菇
4711247397223,,,猴頭菌,NA,Hericium erinaceus  (Bull ex Fr.) Pers.,猴頭蘑，花菜菇
